epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4032.72,1.61714,1.15492,1.30084,0.64819,0.448,0.50578,0.28297,1.63457,1.08891,1.30416,0.00999911,0.00333304,0.00999911,0.00333304,0.00999911,0.00333304,0.00999911,0.00333304
2,7851.03,1.55394,1.04795,1.26723,0.68197,0.49555,0.55251,0.31266,1.55492,1.01242,1.26957,0.0190092,0.00633639,0.0190092,0.00633639,0.0190092,0.00633639,0.0190092,0.00633639
3,11590.2,1.55213,1.04662,1.27357,0.6991,0.50025,0.56239,0.32302,1.52702,0.99251,1.263,0.0270292,0.00900973,0.0270292,0.00900973,0.0270292,0.00900973,0.0270292,0.00900973
4,15317.2,1.52205,1.01233,1.2607,0.72202,0.51177,0.57963,0.33909,1.49882,0.98023,1.25044,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,19054.2,1.4633,0.9461,1.22702,0.74371,0.52665,0.60081,0.35454,1.47056,0.95105,1.23407,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,22782.1,1.42639,0.90558,1.20471,0.75326,0.54063,0.61469,0.36577,1.4484,0.92799,1.22108,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,26518.8,1.39652,0.87268,1.18813,0.76285,0.55181,0.62782,0.37603,1.4306,0.90851,1.21069,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,30250.2,1.37228,0.84804,1.17295,0.77142,0.5632,0.64113,0.38545,1.41342,0.88879,1.19965,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,33976.1,1.35241,0.82786,1.16143,0.77987,0.57341,0.65478,0.39578,1.3956,0.86854,1.18814,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,37710.6,1.33284,0.80898,1.15068,0.79002,0.58349,0.66825,0.40566,1.37851,0.84816,1.17753,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,41401.7,1.3494,0.80177,1.16503,0.79876,0.5943,0.68092,0.41571,1.36084,0.83049,1.16756,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,45088.9,1.33023,0.78473,1.15303,0.80574,0.60609,0.69358,0.42501,1.34423,0.81303,1.15779,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,48770.1,1.31165,0.76839,1.14204,0.81246,0.61695,0.70464,0.43345,1.32816,0.79698,1.14809,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,52449.6,1.29061,0.74909,1.12927,0.82293,0.62636,0.71538,0.44197,1.31241,0.78136,1.13825,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,56130.7,1.27164,0.73346,1.121,0.83009,0.63607,0.72568,0.45058,1.29647,0.76664,1.12919,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,59808.2,1.25016,0.71421,1.10782,0.83694,0.64495,0.73525,0.45918,1.28062,0.75212,1.11995,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,63482.1,1.22818,0.69619,1.09375,0.84441,0.65144,0.74464,0.46738,1.26535,0.73898,1.11059,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,67155.9,1.20539,0.67919,1.08193,0.85161,0.65839,0.75288,0.47551,1.25051,0.72584,1.10145,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,70829.6,1.18237,0.66079,1.06895,0.85573,0.66676,0.76031,0.48289,1.23661,0.71344,1.09257,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,74509.5,1.15798,0.64364,1.0606,0.8595,0.67454,0.76788,0.49021,1.22342,0.70226,1.085,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
